variable,outcome,Cluster1,Cluster2,Cluster3,Cluster4
natident1,1,0,0.0232,0,0.1962
natident1,2,0,0.0475,0,0.1844
natident1,3,0.0002,0.1294,0,0.2144
natident1,4,0.038,0.5069,0.0047,0.3332
natident1,5,0.9618,0.293,0.9953,0.0717
natident2,1,0.0054,0.1292,0,0.2908
natident2,2,0.0236,0.1877,0.0006,0.2653
natident2,3,0.0951,0.255,0.0099,0.2317
natident2,4,0.2479,0.2277,0.0969,0.1348
natident2,5,0.628,0.2004,0.8926,0.0775
natpride1,1,0,0.0101,0,0.1599
natpride1,2,0,0.0386,0,0.1937
natpride1,3,0.0001,0.2023,0,0.3232
natpride1,4,0.0334,0.5827,0.0065,0.2963
natpride1,5,0.9665,0.1662,0.9935,0.0269
natpride2,1,0,0.016,0,0.0633
natpride2,2,0,0.0278,0,0.0662
natpride2,3,0.0014,0.0728,0,0.1103
natpride2,4,0.0934,0.4545,0.0024,0.46
natpride2,5,0.9051,0.4288,0.9976,0.3001
natmembr1,1,0.0066,0.0463,0,0.2661
natmembr1,2,0.0347,0.1222,0,0.3024
natmembr1,3,0.0963,0.1792,0.0002,0.1943
natmembr1,4,0.3134,0.3239,0.0167,0.1599
natmembr1,5,0.5491,0.3284,0.9831,0.0774
natmembr2,1,0,0.0065,0,0.173
natmembr2,2,0.0002,0.0495,0,0.3347
natmembr2,3,0.0065,0.1544,0,0.2561
natmembr2,4,0.182,0.5109,0.0025,0.2076
natmembr2,5,0.8112,0.2787,0.9975,0.0286
natmembr3,1,0.2805,0.3249,0.1434,0.6114
natmembr3,2,0.3259,0.3254,0.2517,0.2821
natmembr3,3,0.2166,0.1951,0.2479,0.082
natmembr3,4,0.0903,0.0778,0.1505,0.0164
natmembr3,5,0.0866,0.0768,0.2064,0.0082
nathubrs1,1,0.0427,0.1078,0.0003,0.3415
nathubrs1,2,0.1271,0.2204,0.0042,0.3503
nathubrs1,3,0.1846,0.2212,0.0257,0.1746
nathubrs1,4,0.2852,0.2384,0.1614,0.0929
nathubrs1,5,0.3604,0.2122,0.8084,0.0407
nathubrs2,1,0.0051,0.0284,0,0.2311
nathubrs2,2,0.0393,0.1189,0,0.3321
nathubrs2,3,0.2042,0.3312,0.0028,0.3096
nathubrs2,4,0.4128,0.3605,0.0816,0.1109
nathubrs2,5,0.3385,0.161,0.9155,0.0163
nathubrs3,1,0.064,0.1191,0.0121,0.2446
nathubrs3,2,0.1138,0.1637,0.0378,0.2306
nathubrs3,3,0.2638,0.2933,0.1541,0.2835
nathubrs3,4,0.2709,0.2329,0.2779,0.1544
nathubrs3,5,0.2875,0.1911,0.518,0.0869
nathubrs4,1,0.0643,0.0949,0.0136,0.2817
nathubrs4,2,0.1538,0.1913,0.0575,0.3023
nathubrs4,3,0.3084,0.3233,0.2031,0.272
nathubrs4,4,0.2745,0.2425,0.3187,0.1087
nathubrs4,5,0.1989,0.1481,0.4071,0.0353
natcultr1,1,0.0243,0.0458,0,0.2288
natcultr1,2,0.072,0.1039,0.0001,0.2522
natcultr1,3,0.1574,0.181,0.0018,0.2149
natcultr1,4,0.4141,0.3955,0.0748,0.2284
natcultr1,5,0.3322,0.2738,0.9233,0.0757
natcultr2,1,0.0001,0.0104,0,0.053
natcultr2,2,0.0004,0.0149,0,0.0429
natcultr2,3,0.0121,0.0945,0,0.1599
natcultr2,4,0.2029,0.4179,0.0023,0.4358
natcultr2,5,0.7845,0.4623,0.9977,0.3083
